dp,case_name,status,max_displacement_m,max_rotation_deg,max_velocity_ms,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,sim_time_s,n_timesteps,n_particles,mem_gpu_mb,mem_gpu_cells_mb,tiempo_min,disp_mm,disp_pct_deq,delta_disp_mm_vs_dp0002,delta_disp_pct_vs_dp0002
0.01,conv3_f05_full_dp001,OK,0.3844616464031229,23.041243383257324,0.4274720099386625,23.797225527845157,1577.72408703857,2.066310824957632,0.12265,9.999088,9500,872039,177.87315368652344,24.077491760253903,13.260989125569662,384.4616464031229,382.8498485407663,256.0908438271475,199.4930612633522
0.008,conv3_f05_full_dp0008,OK,0.3932662840595416,24.52615980360727,0.3939498763066185,14.268174170176785,1740.0365909594086,2.1519254100395364,0.125553,9.999043,9500,1474041,306.9159240722656,46.96485137939453,17.786189929644266,393.2662840595416,391.61757407269556,264.8954814835662,206.35181534117896
0.006,conv3_f05_full_dp0006,OK,0.1809070438816581,12.82170807591696,0.2056068619623382,21.756788503943337,1915.315263122236,1.678112917290718,0.121662,9.999051,9500,2953215,626.6726226806641,105.88745880126952,30.419822732607525,180.9070438816581,180.14861819904016,52.536241305682694,40.92538198052432
0.005,conv3_f05_full_dp0005,OK,0.1422602116475297,15.721797356773742,0.1565835447484824,10.736957295864643,10510.181869998254,1.6398450792487511,0.122277,9.999004,9500,4690989,937.51908493042,110.2986831665039,48.05957366228104,142.2602116475297,141.6638070199756,13.889409071554297,10.819757135454491
0.004,conv3_f05_full_dp0004,OK,0.120600704164611,16.605090550875875,0.1639694821697013,14.938402283249706,2391.619290418941,1.4642535551366231,0.128138,9.999003,9500,8152156,1557.3257789611816,119.76825714111328,89.51010985374451,120.60070416461099,120.09510377770684,-7.770098411364415,-6.052854898033168
0.003,conv3_f05_full_dp0003,OK,0.1204061077063786,16.47035818505598,0.1427400708700959,7.822845449823805,7619.834561524286,1.5344839739194052,0.130311,9.99902,9500,17525835,3338.5399208068848,248.0421524047852,249.17810114224756,120.4061077063786,119.90132313597614,-7.964694869596798,-6.204444242593985
0.002,conv3_f05_full_dp0002,OK,0.1283708025759754,24.020656730028435,0.1483403953783324,7.959464579762886,12922.787691709556,1.6360764212278225,0.135854,9.999002,9500,51861979,9999.881187438965,854.586540222168,1144.2153728167216,128.3708025759754,127.83262721539859,0.0,0.0
